"","seq_number","sum.taxonomy"
"1","merged_fishcard_12S_all_1","Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus"
"2","merged_fishcard_12S_all_2","Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres semicinctus"
"3","merged_fishcard_12S_all_6","Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis"
"4","merged_fishcard_12S_all_8","Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica"
"5","merged_fishcard_12S_all_9","Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus tshawytscha"
"6","merged_fishcard_12S_all_15","Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Ctenopharyngodon;Ctenopharyngodon idella"
"7","merged_fishcard_12S_all_74","Eukaryota;Chordata;Actinopteri;NA;Malacanthidae;Caulolatilus;Caulolatilus princeps"
"8","merged_fishcard_12S_all_112","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"9","merged_fishcard_12S_all_202",NA
"10","merged_fishcard_12S_all_241",NA
"11","merged_fishcard_12S_all_713","Eukaryota;Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Lutjanus;Lutjanus peru"
"12","merged_fishcard_12S_all_970","Eukaryota;Chordata;Mammalia;Carnivora;Canidae;Canis;Canis lupus"
